UGL	Antarctica/South_Pole	Union Glacier Blue-Ice Runway
AGN	America/Juneau	Angoon
AKK	America/Anchorage	Akhiok SPB
UTO	America/Anchorage	Indian Mountain AFS
KGK	America/Anchorage	New Koliganek
KDK	America/Anchorage	Municipal
KPN	America/Nome	Kipnuk SPB
EGX	America/Anchorage	Egegik Airport
LKK	America/Anchorage	Kulik Lake
FAI	America/Anchorage	Fairbanks International Airport
FBK	America/Anchorage	Ft Wainwright
FWL	America/Anchorage	Farewell
UUK	America/Anchorage	Kuparuk
GAL	America/Anchorage	Edward G. Pitka Sr. Airport
GBH	America/Anchorage	Galbraith Lake
HNS	America/Juneau	Haines Municipal Airport
KLN	America/Anchorage	Larsen SPB
KLG	America/Anchorage	Kalskag Municipal Airport
HUS	America/Anchorage	Hughes Municipal Airport
KMO	America/Anchorage	Manokotak SPB
HYG	America/Sitka	Hydaburg Sea Plane Base
IKO	America/Anchorage	Nikolski AFS
HNH	America/Juneau	Hoonah Airport
MYU	America/Anchorage	Ellis Field
MXY	America/Anchorage	Mccarthy
NNL	America/Anchorage	Nondalton
NUL	America/Anchorage	Nulato Airport
OBU	America/Anchorage	Kobuk/Wien Airport
PCA	America/Anchorage	Portage Creek
UNK	America/Anchorage	Unalakleet Airport
PIP	America/Anchorage	Pilot Point
KNW	America/Anchorage	New Stuyahok
KPV	America/Anchorage	Perryville SPB
PPC	America/Anchorage	Prospect Creek
PSG	America/Anchorage	Petersburg Municipal Airport
KWN	America/Anchorage	Kwinhagak Airport
PKA	America/Anchorage	Napaskiak Sea Plane Base
SHH	America/Anchorage	Shishmaref Airport
SNP	America/Anchorage	Saint Paul Island Airport
ANC	America/Anchorage	Ted Stevens Anchorage International Airport
ANI	America/Anchorage	Aniak Airport
ANN	America/Metlakatla	Annette Island
ANV	America/Anchorage	Anvik Airport
ARC	America/Anchorage	Arctic Village
ATK	America/Anchorage	Atqasuk Edward Burnell Sr. Memorial Airport
TAL	America/Anchorage	Ralph Calhoun
TNC	America/Anchorage	Tin City Afs
AUK	America/Nome	Alakanuk Airport
TOG	America/Anchorage	Togiak Village
RSH	America/Anchorage	Russian SPB
TLJ	America/Anchorage	Tatalina AFS
UMT	America/Anchorage	Umiat
SIT	America/Sitka	Sitka Airport
ENN	America/Anchorage	Municipal
FNR	America/Juneau	SPB
SKW	America/Anchorage	Intermediate
TLA	America/Anchorage	Teller Airport
SVW	America/Anchorage	Sparrevohn AFS
WNA	America/Anchorage	Napakiak Sea Plane Base
WLK	America/Anchorage	Selawik Airport
EMI	Pacific/Port_Moresby	Emirau
ERE	Pacific/Port_Moresby	Erave
KVC	America/Nome	King Cove
ESA	Pacific/Port_Moresby	Esa'Ala
GMI	Pacific/Port_Moresby	Gasmata Island
GOE	Pacific/Port_Moresby	Gonalia
KVL	America/Nome	Kivalina Airport
GVI	Pacific/Port_Moresby	Green River
HYF	Pacific/Port_Moresby	Hayfields
IIS	Pacific/Port_Moresby	Nissan Island
JAQ	Pacific/Port_Moresby	Jacquinot Bay
NCN	America/Anchorage	New Chenega
KUK	America/Nome	Kasigluk Airport
KOT	America/Nome	Kotlik Airport
PCO	America/Mazatlan	Punta Colorada
KTS	America/Anchorage	Brevig Mission Airport
TKJ	America/Anchorage	Tok
KYU	America/Anchorage	Koyukuk Airport
KNK	America/Anchorage	Kokhanok Airport
PDI	Pacific/Port_Moresby	Pindiu
AET	America/Anchorage	Allakaket
KWT	America/Anchorage	Kwethluk Airport
TAJ	Pacific/Port_Moresby	Tadji
KII	Pacific/Port_Moresby	Kibuli
AIN	America/Anchorage	Wainwright
AKG	Pacific/Port_Moresby	Anguganak
AKI	America/Anchorage	Akiak
AWB	Pacific/Port_Moresby	Awaba Airport
BAA	Pacific/Port_Moresby	Bialla
CLP	America/Anchorage	Clarks Point
KXR	Pacific/Port_Moresby	Karoola
CVB	Pacific/Port_Moresby	Chungribu
PEC	America/Anchorage	Pelican SPB
SKK	America/Anchorage	Shaktoolik Airport
SGK	Pacific/Port_Moresby	Sangapi
VAK	America/Nome	Chevak Airport
ELI	America/Nome	Elim Airport
WRG	America/Anchorage	Wrangell Airport
YAK	America/Yakutat	Yakutat Airport
LMI	Pacific/Port_Moresby	Lumi
LMY	Pacific/Port_Moresby	Lake Murray
BKH	Pacific/Honolulu	Barking Sands PMRF
LUP	Pacific/Honolulu	Kalaupapa
TFM	Pacific/Port_Moresby	Telefomin
ENT	Pacific/Majuro	Enewetak Island
UKU	Pacific/Port_Moresby	Nuku
MDY	Pacific/Midway	Sand Island Field
JRF	Pacific/Honolulu	Kalaeloa
KOA	Pacific/Honolulu	Kona International Airport at Keahole
TFI	Pacific/Port_Moresby	Tufi
TLO	Pacific/Port_Moresby	Tol
PGE	Pacific/Port_Moresby	Yegepa
PGM	America/Anchorage	Port Graham
OPU	Pacific/Port_Moresby	Balimo
PLE	Pacific/Port_Moresby	Paiela
PIZ	America/Anchorage	Dew Station Airport
PPX	Pacific/Port_Moresby	Param
WPM	Pacific/Port_Moresby	Wipim
VMU	Pacific/Port_Moresby	Baimuru
KAI	America/Guyana	Kaieteur
TNQ	Pacific/Kiritimati	Teraina
LZN	Asia/Taipei	Matsu Nangan Airport
MZG	Asia/Taipei	Magong Airport
MUS	Asia/Tokyo	Marcus Island
RAA	Pacific/Port_Moresby	Rakanda
OLK	America/Asuncion	Fuerte Olimpo
PCJ	America/Asuncion	Puerto La Victoria
AWK	Pacific/Wake	Wake Island
BFA	America/Asuncion	Bahia Negra
HCN	Asia/Taipei	Hengchun
HUN	Asia/Taipei	Hualien Airport
IWO	Asia/Tokyo	Iwo Jima Airbase
PUA	Pacific/Port_Moresby	Puas
PUI	Pacific/Port_Moresby	Pureni
PWR	America/Anchorage	Port Walter
RDV	America/Anchorage	Red Devil
RAW	Pacific/Port_Moresby	Arawa
RAX	Pacific/Port_Moresby	Oram
RBP	Pacific/Port_Moresby	Rabaraba
RGE	Pacific/Port_Moresby	Porgera
RHR	Asia/Dubai	Al Hamra SPB
RBJ	Asia/Tokyo	Rebun
KUM	Asia/Tokyo	Yakushima Airport
NGS	Asia/Tokyo	Nagasaki Airport
OKE	Asia/Tokyo	Okino Erabu
OKI	Asia/Tokyo	Oki Island
AOJ	Asia/Tokyo	Aomori Airport
ASJ	Asia/Tokyo	Amami Airport
CHN	Asia/Seoul	Jeonju
HAC	Asia/Tokyo	Hachijo Jima Airport
KKX	Asia/Tokyo	Kikaiga Shima
KAG	Asia/Seoul	Gangneung
MMY	Asia/Tokyo	Miyako Airport
MMD	Asia/Tokyo	Maridor
RSU	Asia/Seoul	Yeosu Airport
SHO	Africa/Mbabane	King Mswati III International Airport
KTD	Asia/Tokyo	Kitadaito
AGJ	Asia/Tokyo	Aguni
RLP	Australia/Brisbane	Rosella Plains
CJU	Asia/Seoul	Jeju International Airport
HTR	Asia/Tokyo	Hateruma
ICN	Asia/Seoul	Incheon International Airport
IEJ	Asia/Tokyo	Iejima
RMP	America/Anchorage	Rampart
SHI	Asia/Tokyo	Shimojishima
RKY	Australia/Brisbane	Rokeby
RNR	Pacific/Port_Moresby	Robinson River
USU	Asia/Manila	Busuanga Airport
LPS	America/Los_Angeles	Lopez Island
RRM	Africa/Maputo	Marromeu
RPV	Australia/Darwin	Roper Valley
RUU	Pacific/Port_Moresby	Ruti
RAF	America/Argentina/Cordoba	Rafaela
SAM	Pacific/Port_Moresby	Salamo
CVH	America/Argentina/Salta	Caviahue
FTE	America/Argentina/Rio_Gallegos	El Calafate Airport
IGR	America/Argentina/Cordoba	Cataratas del Iguazu International Airport
LHS	America/Argentina/Rio_Gallegos	Las Heras
USH	America/Argentina/Ushuaia	Malvinas Argentinas International Airport
MDQ	America/Argentina/Buenos_Aires	Mar Del Plata Airport
RGL	America/Argentina/Rio_Gallegos	Rio Gallegos Internacional Airport
AFL	America/Cuiaba	Alta Floresta Airport
CDJ	America/Belem	Conceicao Do Araguaia
CKS	America/Belem	Carajas Airport
MAO	America/Manaus	Eduardo Gomes International Airport
CMG	America/Campo_Grande	Corumba Internacional Airport
JCR	America/Santarem	Jacareacanga
MAB	America/Belem	Maraba Airport
OYK	America/Belem	Oiapoque
PMW	America/Araguaina	Palmas Airport
ARI	America/Santiago	Chacalluta Airport
BBA	America/Santiago	Teniente Vidal Airport
BVH	America/Porto_Velho	Vilhena Airport
DPB	America/Santiago	Pampa Guanaco Airport
MHC	America/Santiago	Mocopulli Airport
OIA	America/Belem	Ourilandia
ATF	America/Guayaquil	Chachoan
CNR	America/Santiago	Chanaral
CPP	America/Santiago	Coposa Airport
PUQ	America/Santiago	Pres Ibanez Airport
SCL	America/Santiago	Arturo Merino Benitez Airport
PZS	America/Santiago	Temuco Maquehue Airport
SDI	Pacific/Port_Moresby	Saidor
LVR	America/Cuiaba	Mun. Do Bom Futuro
PRE	America/Bogota	Pore
PSY	Atlantic/Stanley	Port Stanley
ACL	America/Bogota	Aguaclara
AYI	America/Bogota	Yari
CFO	America/Cuiaba	Confreza
PJC	America/Asuncion	Pedro Juan Caballero
NPR	America/Santarem	Novo Progresso Municipal
ECO	America/Bogota	El Encanto
ESG	America/Asuncion	Mariscal Estigarribia
PCC	America/Bogota	Puerto Rico
PTZ	America/Guayaquil	Pastaza
SFU	Pacific/Port_Moresby	Safia
SIZ	Pacific/Port_Moresby	Sissano
SQF	America/Bogota	Solano
JUA	America/Cuiaba	Juara
NBB	America/Bogota	Barrancominas
MFB	America/Bogota	Monfort
MHF	America/Bogota	Morichal
PUU	America/Bogota	Puerto Asis Airport
SOH	America/Bogota	Solita
ACD	America/Bogota	Acandi
ACR	America/Bogota	Araracuara
ARF	America/Bogota	Acaricuara
BHF	America/Bogota	Bahia Cupica
CCO	America/Bogota	Carimagua
CPB	America/Bogota	Capurgana
CQT	America/Bogota	Caquetania
CSR	America/Bogota	Casuarito
CUO	America/Bogota	Caruru
ECR	America/Bogota	El Charco
GPI	America/Bogota	Guapi Airport
HRR	America/Bogota	Herrera
NAR	America/Bogota	Nare
NCI	America/Bogota	Necocli
ASC	America/La_Paz	Ascension
AYG	America/Bogota	Yaguara
LPD	America/Bogota	La Pedrera
MVP	America/Bogota	Mitu
PCR	America/Bogota	Puerto Carreno Airport
PAL	America/Bogota	Palanquero
PZA	America/Bogota	Casanare
MGD	America/La_Paz	Magdalena
OEM	America/Paramaribo	Vincent Fayks
ABN	America/Paramaribo	Albina
BVK	America/La_Paz	Huacaraje
CCA	America/Chicago	Chaffee AFB
CEP	America/La_Paz	Concepcion
SJB	America/La_Paz	San Joaquin
DRJ	America/Paramaribo	Drietabbetje
RDC	America/Belem	Redencao
PUR	America/La_Paz	Puerto Rico
SBL	America/La_Paz	Yacuma
SNM	America/La_Paz	San Ignacio De M
SMH	Pacific/Port_Moresby	Sapmanga
SMP	Pacific/Port_Moresby	Stockholm
MPY	America/Cayenne	Maripasoula
ALD	America/Lima	Alerta
GSI	Pacific/Guadalcanal	Guadalcanal
GTA	Pacific/Guadalcanal	Gatokae Aerodrom
ITI	America/Sao_Paulo	Itambacuri
OBI	America/Santarem	Obidos
SRV	America/Anchorage	Stony River
KCB	America/Paramaribo	Tepoe Airstrip
SQT	Pacific/Port_Moresby	China Straits Airstrip
SRM	Australia/Brisbane	Sandringham
AAJ	America/Paramaribo	Cayana Airstrip
APU	America/Sao_Paulo	Apucarana
JAE	America/New_York	Shumba Airport
CAJ	America/Caracas	Canaima
SSS	Pacific/Port_Moresby	Siassi
SUZ	Pacific/Port_Moresby	Suria
EOR	America/Caracas	El Dorado
ICA	America/Caracas	Icabaru
KAV	America/Caracas	Kavanayen
PPH	America/Caracas	Peraitepuy
PBV	America/Cuiaba	Porto Dos Gauchos
PBX	America/Cuiaba	Porto Alegre Do Norte
JRN	America/Cuiaba	Juruena
OPS	America/Cuiaba	Sinop Airport
URM	America/Caracas	Uriman
AIR	America/Cuiaba	Aripuana
CCX	America/Cuiaba	Caceres
CQA	America/Cuiaba	Canarana Airport
LCB	America/Cuiaba	Pontes e Lacerda
CQS	America/Porto_Velho	Costa Marques
SNV	America/Caracas	Santa Elena
SVS	America/Anchorage	Stevens Village
DMT	America/Cuiaba	Diamantino
FBA	America/Manaus	Fonte Boa
GRP	America/Araguaina	Gurupi
HUW	America/Manaus	Humaita
IDO	America/Araguaina	Rio
JIA	America/Cuiaba	Juina
SWE	Pacific/Port_Moresby	Siwea
SWG	Pacific/Port_Moresby	Satwag
SWR	Pacific/Port_Moresby	Silur
STZ	America/Cuiaba	Confresa
NAI	America/Guyana	Annai
LUB	America/Guyana	Lumid Pau
LTM	America/Guyana	Lethem
MYM	America/Guyana	Monkey Mountain
KRM	America/Guyana	Karanambo
AHL	America/Guyana	Aishalton
AZL	America/Cuiaba	Fazenda Tucunare Airport
KKG	America/Guyana	Konawaruk
MHA	America/Guyana	Mahdia
BGI	America/Barbados	Grantley Adams International Airport
ORJ	America/Guyana	Orinduik
TDS	Pacific/Port_Moresby	Sasereme
TFB	Pacific/Port_Moresby	Tifalmin
BMJ	America/Guyana	Baramita
KAR	America/Guyana	Kamarang
PRR	America/Guyana	Paruima
KRG	America/Guyana	Karasabai
KTO	America/Guyana	Kato
TBA	Pacific/Port_Moresby	Tabibuga
SKM	America/Guyana	Skeldon
SFG	America/Marigot	Esperance Airport
TBQ	Pacific/Port_Moresby	Tarabo
DCF	America/Dominica	Canefield Airport
DOM	America/Dominica	Melville Hall Airport
GFO	America/Guyana	Bartica
TDB	Pacific/Port_Moresby	Tetabedi
IMB	America/Guyana	Imbaimadai
SXP	America/Anchorage	Sheldon Sea Plane Base
SYB	America/Anchorage	Seal Bay
SYF	America/Vancouver	Silva Bay
TCT	America/Anchorage	Takotna
SXH	Pacific/Port_Moresby	Sehulea
NGD	America/Tortola	Captain Auguste George
THW	Asia/Colombo	Harbour SPB
TIG	Pacific/Port_Moresby	Tingwon
TLP	Pacific/Port_Moresby	Tumolbil
TLT	America/Anchorage	Tuluksak Airport
ARE	America/Puerto_Rico	Arecibo
AUA	America/Aruba	Reina Beatrix International Airport
AXA	America/Anguilla	Clayton J. Lloyd International Airport
CRU	America/Grenada	Carriacou Island
TKL	America/Anchorage	Taku SPB
EIS	America/Tortola	Terrance B. Lettsome International Airport
TNW	America/Guayaquil	Jumandy
TOK	Pacific/Port_Moresby	Torokina
TOV	America/Tortola	West End SPB
TSG	America/Anchorage	Intermediate
TSI	Pacific/Port_Moresby	Tsili Tsili
TUT	Pacific/Port_Moresby	Tauta
MQJ	Asia/Srednekolymsk	Moma
UNI	America/St_Vincent	Union Island
BDA	Atlantic/Bermuda	L.F. Wade International Airport
BQU	America/St_Vincent	J. F. Mitchell
TZO	Indian/Antananarivo	Tsimiroro
CIW	America/St_Vincent	Canouan Island
CMJ	Asia/Taipei	Chi Mei
KVM	Asia/Anadyr	Markovo Airport
AEM	Asia/Vladivostok	Amgu
BVV	Asia/Sakhalin	Burevestnik AFB
EDN	America/Chicago	Enterprise Muni Airport
UGB	America/Anchorage	Ugashik Bay
SBT	Asia/Dushanbe	Sabetta
LHU	Africa/Windhoek	Lianshulu
KKQ	Asia/Yekaterinburg	Krasnoselkup
AAQ	Europe/Moscow	Anapa Airport
BNH	America/New_York	Barnes
USO	Pacific/Port_Moresby	Usino
GMV	America/Denver	Monument Valley
UUU	Pacific/Port_Moresby	Manumu
ULV	Europe/Samara	Baratayevka
UZM	America/Cambridge_Bay	Hope Bay
SVV	America/Caracas	San Salvador De
KCT	Asia/Colombo	Koggala Airport
ADP	Asia/Colombo	Ampara
BTC	Asia/Colombo	Batticaloa
DEP	Asia/Kolkata	Deparizo
HRI	Asia/Colombo	Mattala Rajapaksa International Airport
IXH	Asia/Kolkata	Kailashahar
KTV	America/Caracas	Kamarata
SPB	America/St_Thomas	SPB
SSB	America/St_Thomas	SPB
VIV	Pacific/Port_Moresby	Vivigani
AGR	Asia/Kolkata	Kheria
AIP	Pacific/Majuro	Ailinglapalap Island
AOU	Asia/Vientiane	Attopeu
HOE	Asia/Vientiane	Houeisay
LUA	Asia/Kathmandu	Lukla
MFM	Asia/Macau	Macau International Airport
KTM	Asia/Kathmandu	Tribhuvan International Airport
TPJ	Asia/Kathmandu	Taplejung Suketar
PPL	Asia/Kathmandu	Phaplu
RHP	Asia/Kathmandu	Ramechhap
BHP	Asia/Kathmandu	Bhojpur
BHR	Asia/Kathmandu	Bharatpur Airport
BJH	Asia/Kathmandu	Bajhang
BJU	Asia/Kathmandu	Bajura Airport
DNP	Asia/Kathmandu	Dang
DOP	Asia/Kathmandu	Dolpa
JIR	Asia/Kathmandu	Jiri
TMI	Asia/Kathmandu	Tumling Tar Airport
BKK	Asia/Bangkok	Suvarnabhumi Airport
CBD	Asia/Kolkata	Car Nicobar
GKK	Indian/Maldives	Kooddoo Airport
NYU	Asia/Rangoon	Nyaung U Airport
GWA	Asia/Rangoon	Gwa
HEH	Asia/Rangoon	Heho Airport
HKT	Asia/Bangkok	Phuket International Airport
KOP	Asia/Bangkok	Nakhon Phanom Airport
KET	Asia/Rangoon	Keng Tung Airport
KYP	Asia/Rangoon	Kyaukpyu Airport
LSH	Asia/Rangoon	Lashio
KAW	Asia/Rangoon	Kawthaung Airport
AKY	Asia/Rangoon	Civil Airport
BUI	Asia/Jayapura	Bokondini
MDL	Asia/Rangoon	Mandalay International Airport
FBS	America/Los_Angeles	Friday Harbor SPB
KOX	Asia/Jayapura	Kokonao
ILA	Asia/Jayapura	Illaga
MGK	Asia/Rangoon	Mong Ton
NBX	Asia/Jayapura	Nabire
PRU	Asia/Rangoon	Prome
PAU	Asia/Rangoon	Pauk
RCE	America/Los_Angeles	Roche Harbor
RSJ	America/Los_Angeles	Rosario SPB
WAD	Indian/Antananarivo	Andriamena
WAB	Pacific/Port_Moresby	Wabag
MDP	Asia/Jayapura	Mindiptana
LII	Asia/Jayapura	Mulia
UBR	Asia/Jayapura	Ubrub
MKQ	Asia/Jayapura	Mopah Airport
KEI	Asia/Jayapura	Kepi
KWB	Asia/Jakarta	Karimunjawa
BEJ	Asia/Makassar	Kalimarau Airport
BJK	Asia/Jayapura	Benjina
BYQ	Asia/Makassar	Bunyu
MAL	Asia/Jayapura	Mangole
LUV	Asia/Jayapura	Langgur Airport
DOB	Asia/Jayapura	Dobo Airport
DTD	Asia/Makassar	Datadawai
GLX	Asia/Jayapura	Galela
OKL	Asia/Jayapura	Oksibil
LSU	Asia/Kuching	Long Sukang
KDI	Asia/Makassar	Haluoleo Airport
MKM	Asia/Kuching	Mukah Airport
KPI	Asia/Kuching	Kapit
LDU	Asia/Kuching	Lahad Datu Airport
KGU	Asia/Kuching	Keningau
LBU	Asia/Kuching	Labuan Airport
KSR	America/Anchorage	Federal No 1
BBN	Asia/Kuching	Bario Airport
BKM	Asia/Kuching	Bakalalan
BSE	Asia/Kuching	Sematan
BUW	Asia/Makassar	Baubau Airport
BXB	Asia/Jayapura	Babo
MUR	Asia/Kuching	Marudi Airport
LGL	Asia/Kuching	Long Lellang
MZV	Asia/Kuching	Mulu Airport
PAY	Asia/Kuching	Pamol
RNU	Asia/Kuching	Ranau
WBB	America/Anchorage	Stebbins Airport
WBC	Pacific/Port_Moresby	Wapolu
BTH	Asia/Jakarta	Hang Nadim International Airport
MWK	Asia/Jakarta	Matak
LMU	Asia/Jakarta	Letung Airport
GNS	Asia/Jakarta	Gunungsitoli Airport
PKU	Asia/Jakarta	Sultan Syarif Kasim II International Airport
WGU	Pacific/Port_Moresby	Wagau
WED	Pacific/Port_Moresby	Wedau
MPB	America/New_York	Miami Sea Plane Base
QPG	Asia/Singapore	Paya Lebar
PKG	Asia/Kuala_Lumpur	Pangkor Airport
ABU	Asia/Makassar	Haliwen Airport
AUT	Asia/Dili	Atauro
RDN	Asia/Kuala_Lumpur	LTS Pulau Redang
DTR	America/Los_Angeles	Decatur Island
XSP	Asia/Singapore	Seletar
UGI	America/Anchorage	Uganik
XBB	America/Vancouver	Blubber Bay
AAB	Australia/Brisbane	Arrabury Airport
BKP	Australia/Brisbane	Barkly Downs
ABG	Australia/Brisbane	Abingdon
ABH	Australia/Brisbane	Alpha
ADO	Australia/Adelaide	Andamooka
BKQ	Australia/Brisbane	Blackall Airport
BQW	Australia/Perth	Balgo Hills
AMT	Australia/Adelaide	Amata
AMX	Australia/Darwin	Ammaroo
ASP	Australia/Darwin	Alice Springs Airport
BRK	Australia/Sydney	Bourke
AUD	Australia/Brisbane	Augustus Downs
AUU	Australia/Brisbane	Aurukun Mission
MRP	Australia/Adelaide	Marla
YAJ	America/Vancouver	Lyall Harbour
BXF	Australia/Perth	Belburn
BZP	Australia/Brisbane	Bizant
CTL	Australia/Brisbane	Charleville Airport
GYL	Australia/Perth	Argyle
YAQ	America/Vancouver	Maple Bay
YBH	America/Vancouver	Bull Harbour
YBJ	America/Montreal	Baie Johan Beetz
AVG	Australia/Darwin	Auvergne
AWN	Australia/Adelaide	Alton Downs
AWP	Australia/Darwin	Austral Downs Airport
AXC	Australia/Brisbane	Aramac
AXL	Australia/Darwin	Alexandria
AYL	Australia/Darwin	Anthony Lagoon
AYQ	Australia/Darwin	Connellan Airport
BCI	Australia/Brisbane	Barcaldine Airport
BDD	Australia/Brisbane	Badu Island
BEE	Australia/Perth	Beagle Bay
BEU	Australia/Brisbane	Bedourie
BFC	Australia/Brisbane	Bloomfield
BIW	Australia/Perth	Billiluna
CMA	Australia/Brisbane	Cunnamulla
BIP	Australia/Brisbane	Bulimba
BME	Australia/Perth	Broome Airport
BMP	Australia/Brisbane	Brampton Island
BOX	Australia/Darwin	Borroloola
PPP	Australia/Brisbane	Whitsunday Coast Airport
NIF	Australia/Perth	Nifty Airport
ODL	Australia/Adelaide	Cordillo Downs
DCN	Australia/Perth	RAAF Curtin
YBQ	America/Vancouver	Telegraph Harbour
YCF	America/Vancouver	Cortes Bay
LLG	Australia/Brisbane	Chillagoe
BRT	Australia/Darwin	Bathurst Island
BTD	Australia/Darwin	Brunette Downs
BVW	Australia/Brisbane	Batavia Downs
BVZ	Australia/Perth	Beverley Springs
BWB	Australia/Perth	Barrow Island
BYP	Australia/Perth	Barimunya Airport
BZD	Australia/Sydney	Balranald
CBI	Australia/Hobart	Cape Barren Island
CBX	Australia/Sydney	Condobolin
CBY	Australia/Brisbane	Canobie
CCL	Australia/Brisbane	Chinchilla
CED	Australia/Adelaide	Ceduna Airport
CFH	Australia/Adelaide	Clifton Hills
CFI	Australia/Darwin	Camfield
CKI	Australia/Darwin	Croker Island
CML	Australia/Brisbane	Camooweal
CMQ	Australia/Brisbane	Clermont
CNC	Australia/Brisbane	Coconut Island
CNJ	Australia/Brisbane	Cloncurry Airport
CPD	Australia/Adelaide	Coober Pedy Airport
CRB	Australia/Sydney	Collarenebri
NLF	Australia/Brisbane	Darnley Island
KCE	Australia/Brisbane	Collinsville
CCW	Australia/Adelaide	Cowell
CDA	Australia/Darwin	Cooinda
CDQ	Australia/Brisbane	Croydon
CFP	Australia/Brisbane	Carpentaria Downs
CJF	Australia/Perth	Coondewanna Airport
COY	Australia/Perth	Coolawanyah
CUG	Australia/Sydney	Cudal
CUQ	Australia/Brisbane	Coen
CUY	Australia/Perth	Cue
CWR	Australia/Adelaide	Cowarie
CXQ	Australia/Perth	Christmas Creek
CYG	Australia/Melbourne	Corryong
DDN	Australia/Brisbane	Delta Downs
DFP	Australia/Brisbane	Drumduff
DGD	Australia/Perth	Dalgaranga
DHD	Australia/Brisbane	Durham Downs
DKI	Australia/Brisbane	Dunk Island
DKV	Australia/Darwin	Docker River
DLK	Australia/Adelaide	Dulkaninna
DMD	Australia/Brisbane	Doomadgee Airport
DNB	Australia/Brisbane	Dunbar
DNG	Australia/Perth	Doongan
DOX	Australia/Perth	Dongara
DPO	Australia/Hobart	Devonport Airport
DRB	Australia/Perth	Derby
DRD	Australia/Brisbane	Dorunda Station
DRN	Australia/Brisbane	Dirranbandi
DRR	Australia/Brisbane	Durrie
KFE	Australia/Perth	Fortescue Dave Forrest
FOS	Australia/Perth	Forrest
FVL	Australia/Perth	Flora Valey
FVR	Australia/Perth	Forrest River Airport
YGE	America/Vancouver	Gorge Harbor
GBL	Australia/Darwin	Goulburn Island
YGN	America/Vancouver	Greenway Sound
FIK	Australia/Darwin	Finke
FIZ	Australia/Perth	Fitzroy Crossing
FLY	Australia/Sydney	Finley
GBP	Australia/Brisbane	Gamboola
GBV	Australia/Perth	Gibb River
GBW	Australia/Perth	Ginbata Airport
GDD	Australia/Perth	Gordon Downs
GEE	Australia/Hobart	George Town
GGD	Australia/Brisbane	Gregory Downs
GLG	Australia/Brisbane	Glengyle
GLM	Australia/Brisbane	Glenormiston
GLT	Australia/Brisbane	Gladstone Airport
GPD	Australia/Brisbane	Mount Gordon Mine
GSC	Australia/Perth	Gascoyne Junction
GTE	Australia/Darwin	Alyangula Airport
GTT	Australia/Brisbane	Georgetown Airport
GVP	Australia/Brisbane	Greenvale
HAT	Australia/Brisbane	Heathlands
HLL	Australia/Perth	Hillside
HMG	Australia/Darwin	Hermannsburg
INM	Australia/Adelaide	Innamincka
KUG	Australia/Brisbane	Kubin Island
IRG	Australia/Brisbane	Lockhart River
ISI	Australia/Brisbane	Isisford
UBU	Australia/Perth	Kalumburu
KDB	Australia/Perth	Kambalda
KBY	Australia/Adelaide	Streaky Bay
IVW	Australia/Darwin	Inverway
KCS	Australia/Darwin	Kings Creek Station
KRA	Australia/Melbourne	Kerang
JAB	Australia/Darwin	Jabiru
KFG	Australia/Darwin	Kalkurung
KOH	Australia/Brisbane	Koolatah
KKP	Australia/Brisbane	Koolburra
JCK	Australia/Brisbane	Julia Creek
KML	Australia/Brisbane	Kamileroi
LZR	Australia/Brisbane	Lizard Island
KPP	Australia/Brisbane	Kalpowar
LWH	Australia/Brisbane	Lawn Hill
LTP	Australia/Brisbane	Lyndhurst
KRD	Australia/Darwin	Kurundi
LGH	Australia/Adelaide	Leigh Creek
LNH	Australia/Darwin	Lake Nash
LOC	Australia/Adelaide	Lock
LFP	Australia/Brisbane	Lakefield
LTV	Australia/Brisbane	Lotusvale
LIB	Australia/Darwin	Limbunya
BBL	Australia/Brisbane	Ballera Airport
LKD	Australia/Brisbane	Lakeland Downs
LUU	Australia/Brisbane	Laura
YLP	America/Montreal	Mingan
LUT	Australia/Brisbane	Laura Station
LVO	Australia/Perth	Laverton
LER	Australia/Perth	Leinster
MRG	Australia/Brisbane	Mareeba
MBB	Australia/Perth	Marble Bar
LNO	Australia/Perth	Leonora
JUN	Australia/Brisbane	Jundah
KBJ	Australia/Darwin	Kings Canyon
KBB	Australia/Darwin	Kirkimbie
KRB	Australia/Brisbane	Karumba Airport
KWM	Australia/Brisbane	Kowanyama
KGC	Australia/Adelaide	Kingscote Airport
YKT	America/Vancouver	Klemtu
LEL	Australia/Darwin	Lake Evella
LOA	Australia/Brisbane	Lorraine
UBB	Australia/Brisbane	Mabuiag Island
ONR	Australia/Brisbane	Monkira
GSN	Australia/Adelaide	Mount Gunson
OXY	Australia/Brisbane	Morney
OOR	Australia/Brisbane	Mooraberree
ONG	Australia/Brisbane	Mornington Airport
NMR	Australia/Brisbane	Nappa Merry
UTB	Australia/Brisbane	Muttaburra
MFP	Australia/Darwin	Manners Creek
MKR	Australia/Perth	Meekatharra
MLV	Australia/Brisbane	Merluna
MGT	Australia/Darwin	Milingimbi
MGV	Australia/Perth	Margaret River
MNG	Australia/Darwin	Maningrida Airport
MHO	Australia/Perth	Mount House
MCV	Australia/Darwin	Mcarthur River Airport
MNQ	Australia/Brisbane	Monto
MIH	Australia/Perth	Mitchell Plateau
MTQ	Australia/Brisbane	Mitchell
MNW	Australia/Darwin	Macdonald Downs
MMG	Australia/Perth	Mount Magnet
MSF	Australia/Darwin	Mount Swan
MET	Australia/Brisbane	Moreton
